source_address,timestamp,x,y
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:58Z,398435.697590787,333148.552761434
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:59Z,398435.874604657,333146.699484271
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:00Z,398436.126965869,333144.604533795
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:01Z,398436.37932708,333142.509583319
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:02Z,398436.631688292,333140.414632843
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:03Z,398436.884049503,333138.319682367
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:04Z,398437.136410715,333136.224731891
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:05Z,398437.388771927,333134.129781415
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:06Z,398437.641133139,333132.034830939
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:07Z,398437.89349435,333129.939880464
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:08Z,398438.145855562,333127.844929988
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:09Z,398438.398216774,333125.749979512
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:10Z,398439.850255699,333125.621644229
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:11Z,398441.302294623,333125.493308946
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:12Z,398442.754333548,333125.364973663
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:13Z,398444.206372472,333125.23663838
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:14Z,398445.658411397,333125.108303097
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:15Z,398447.110450322,333124.979967814
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:16Z,398448.562489247,333124.851632531
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:17Z,398450.014528171,333124.723297249
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:18Z,398451.466567096,333124.594961966
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:19Z,398452.918606021,333124.466626683
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:20Z,398454.133117536,333123.854593336
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:21Z,398455.34762905,333123.24255999
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:22Z,398456.562140565,333122.630526643
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:23Z,398457.776652079,333122.018493297
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:24Z,398458.991163594,333121.40645995
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:25Z,398459.578093168,333120.591300271
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:26Z,398460.165022743,333119.776140592
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:27Z,398460.751952317,333118.960980914
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:28Z,398461.338881892,333118.145821235
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:29Z,398461.925811466,333117.330661556
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:30Z,398462.351161953,333116.354153618
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:31Z,398462.776512441,333115.37764568
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:32Z,398463.201862928,333114.401137743
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:33Z,398463.627213416,333113.424629805
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:34Z,398464.052563903,333112.448121867
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:35Z,398464.99308852,333110.575588132
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:36Z,398465.933613137,333108.703054396
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:37Z,398466.874137754,333106.830520661
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:38Z,398467.814662371,333104.957986925
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:39Z,398468.755186988,333103.08545319
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:40Z,398469.561025983,333101.314326485
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:41Z,398470.366864979,333099.543199781
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:42Z,398471.172703974,333097.772073076
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:43Z,398471.97854297,333096.000946372
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:44Z,398472.784381965,333094.229819667
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:45Z,398473.59022096,333092.458692962
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:46Z,398474.396059956,333090.687566258
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:47Z,398475.201898951,333088.916439553
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:48Z,398476.007737947,333087.145312849
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:49Z,398476.813576942,333085.374186144
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:50Z,398476.625138871,333084.079848743
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:51Z,398476.436700799,333082.785511341
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:52Z,398476.248262728,333081.49117394
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:53Z,398476.059824656,333080.196836538
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:54Z,398475.871386585,333078.902499137
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:55Z,398474.754900793,333077.977683066
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:56Z,398473.638415002,333077.052866995
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:57Z,398472.52192921,333076.128050924
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:58Z,398471.405443419,333075.203234853
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:54:59Z,398470.288957627,333074.278418782
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:00Z,398468.995674274,333073.388043908
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:01Z,398467.70239092,333072.497669034
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:02Z,398466.409107567,333071.607294159
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:03Z,398465.115824213,333070.716919285
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:04Z,398463.82254086,333069.826544411
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:05Z,398462.529257507,333068.936169537
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:06Z,398461.235974154,333068.045794663
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:07Z,398459.9426908,333067.155419788
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:08Z,398458.649407447,333066.265044914
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:09Z,398457.356124094,333065.37467004
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:10Z,398457.322416866,333064.565366507
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:11Z,398457.288709639,333063.756062975
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:12Z,398457.255002411,333062.946759442
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:13Z,398457.221295184,333062.13745591
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:14Z,398457.187587956,333061.328152377
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:15Z,398457.153880729,333060.518848844
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:16Z,398457.120173501,333059.709545312
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:17Z,398457.086466274,333058.900241779
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:18Z,398457.052759046,333058.090938247
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:19Z,398457.019051819,333057.281634714
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:20Z,398456.927422481,333056.537710071
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:21Z,398456.835793143,333055.793785428
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:22Z,398456.744163804,333055.049860784
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:23Z,398456.652534466,333054.305936141
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:24Z,398456.560905128,333053.562011498
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:25Z,398456.427360207,333052.947549046
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:26Z,398456.293815286,333052.333086595
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:27Z,398456.160270365,333051.718624143
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:28Z,398456.026725444,333051.104161692
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:29Z,398455.893180523,333050.48969924
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:30Z,398455.899183836,333049.76252818
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:31Z,398455.905187149,333049.03535712
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:32Z,398455.911190461,333048.30818606
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:33Z,398455.917193774,333047.581015
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:34Z,398455.923197087,333046.85384394
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:35Z,398455.348756174,333046.468158641
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:36Z,398454.774315261,333046.082473342
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:37Z,398454.199874349,333045.696788043
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:38Z,398453.625433436,333045.311102744
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:39Z,398453.050992523,333044.925417445
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:40Z,398453.788235359,333043.357463874
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:41Z,398454.525478195,333041.789510303
